Rang;Gesamtwertung;Kategorie;Produkt;Marke;Typ;Preis;Preis_Leistung;Bildqualitaet;Ausstattung_Handling;Geschwindigkeit;Kameraklasse;Effektive_Pixel;Sensor_Typ
9;87.5;1;Canon EOS_70D;Canon;EOS_70D;868.97;65;81.6;95.4;84;DSLR;20;CMOS
10;87.3;1;Canon EOS_7D_Mark_II;Canon;EOS_7D_Mark_II;1699;40;82.5;90.8;92.5;DSLR;20;CMOS
38;81;1;Canon EOS_60D;Canon;EOS_60D;829;59;76.8;86.4;78.9;DSLR;17.9;CMOS
42;79.7;1;Canon EOS_700D;Canon;EOS_700D;469.9;75;83.1;77.9;74.4;DSLR;17.9;CMOS
47;79;1;Canon EOS_7D;Canon;EOS_7D;832;56;71.7;84.2;87.3;DSLR;17.9;CMOS
53;76.1;1;Canon EOS_600D;Canon;EOS_600D;424.99;68;80.2;73.8;69.8;DSLR;17.9;CMOS
55;75.8;1;Canon EOS_100D;Canon;EOS_100D;367;76;82.8;73;62.3;DSLR;17.9;CMOS
63;72.2;1;Canon EOS_1200D;Canon;EOS_1200D;280.78;80;81.2;65.1;64.3;DSLR;17.9;CMOS
71;70.7;1;Canon EOS_M*;Canon;EOS_M*;399;66;81.7;64.1;55.6;DSLM;17.9;CMOS
6;89.6;2;Fujifilm X_T1;Fujifilm;X_T1;1057.56;45;95;86.3;82.1;DSLM;16;CMOS
19;84.7;2;Fujifilm X_E2;Fujifilm;X_E2;1448;68;95.5;77;72.7;DSLM;16;CMOS
28;82.6;2;Fujifilm X_A2*;Fujifilm;X_A2*;500;83;100;66.7;72.8;DSLM;16;CMOS
30;82.5;2;Fujifilm X_Pro1;Fujifilm;X_Pro1;900;55;93.3;75;70.4;DSLM;16;CMOS
39;80.7;2;Fujifilm X_E1;Fujifilm;X_E1;530;72;90.8;76.3;62.1;DSLM;16;CMOS
43;79.6;2;Fujifilm X_M1;Fujifilm;X_M1;459;60;95.4;65.2;70.9;DSLM;16;CMOS
44;79.5;2;Fujifilm X_A1*;Fujifilm;X_A1*;360;92;98.5;63.3;65.5;DSLM;16;CMOS
20;84.6;3;Nikon D7100;Nikon;D7100;839.99;60;83.8;87.7;78.6;DSLR;24;CMOS
29;82.6;3;Nikon D7000;Nikon;D7000;709.99;62;79.4;87.7;78.5;DSLR;16.1;CMOS
33;82;3;Nikon D5500;Nikon;D5500;804.9;58;82.4;82.8;78.4;DSLR;24;CMOS
35;81.8;3;Nikon D5300;Nikon;D5300;549.99;71;84.2;80.9;76.8;DSLR;24;CMOS
40;80.2;3;Nikon D300s;Nikon;D300s;1149;43;75.5;83.6;85.2;DSLR;12.2;CMOS
45;79.4;3;Nikon D5200;Nikon;D5200;394.66;81;82.1;79.5;71;DSLR;24;CMOS
50;78.2;3;Nikon D5100;Nikon;D5100;329;83;81.1;77;72.7;DSLR;16.1;CMOS
54;76;3;Nikon D3300;Nikon;D3300;389;74;82;69.1;76.5;DSLR;24;CMOS
65;71.5;3;Nikon D3200;Nikon;D3200;251.99;78;75.9;66.4;72.2;DSLR;24.1;CMOS
70;71;3;Nikon 1_V3;Nikon;1_V3;749;43;70.1;62.7;95.5;DSLM;18.2;CMOS
72;70;3;Nikon 1_V2*;Nikon;1_V2*;432;50;62.5;68.7;96;DSLM;14.2;CMOS
74;69.3;3;Nikon 1_J4*;Nikon;1_J4*;359;68;72.1;57.9;91.3;DSLM;18.2;CMOS
75;68.1;3;Nikon 1_AW1*;Nikon;1_AW1*;629;46;63.7;62.1;97.4;DSLM;14.2;CMOS
78;64.4;3;Nikon D3100;Nikon;D3100;580.6;58;64.4;61.7;71.4;DSLR;14.2;CMOS
4;90.7;4;Olympus OM_D_E_M1;Olympus;OM_D_E_M1;1105.89;60;83.6;96.9;95.5;DSLM;15.9;NMOS
7;88.1;4;Olympus OM_D_E_M10;Olympus;OM_D_E_M10;499;85;86.7;91.2;84.1;DSLM;15.9;NMOS
11;87.3;4;Olympus OM_D_E_M5_Mark_II;Olympus;OM_D_E_M5_Mark_II;1099;55;81.6;95.1;83.5;DSLM;15.9;NMOS
16;85.9;4;Olympus OM_D_E_M5;Olympus;OM_D_E_M5;669;69;82.2;92.9;78.2;DSLM;15.9;NMOS
24;83.2;4;Olympus Pen_E_PL7;Olympus;Pen_E_PL7;399;90;88;76.3;87.1;DSLM;15.9;NMOS
25;83.1;4;Olympus Pen_E_P5;Olympus;Pen_E_P5;699;65;87.9;76.3;86.6;DSLM;15.9;NMOS
37;81.1;4;Olympus Pen_E_PL5*;Olympus;Pen_E_PL5*;380.44;91;88;72.7;82.7;DSLM;15.9;NMOS
49;78.4;4;Olympus Pen_E_PM2*;Olympus;Pen_E_PM2*;335.71;84;83.7;71;82.2;DSLM;15.9;NMOS
69;71;4;Olympus Pen_E_P3;Olympus;Pen_E_P3;693.08;45;71.7;73.4;62.3;DSLM;12.2;NMOS
3;91.1;5;Panasonic Lumix_DMC_GH4;Panasonic;Lumix_DMC_GH4;1423.98;50;89.8;92.3;91.5;DSLM;15.9;NMOS
8;87.9;5;Panasonic Lumix_DMC_GH3;Panasonic;Lumix_DMC_GH3;911.79;67;90.3;90.7;73.3;DSLM;15.9;NMOS
13;86.5;5;Panasonic Lumix_DMC_GX7;Panasonic;Lumix_DMC_GX7;598.57;77;85.7;92.4;73;DSLM;15.8;NMOS
27;82.6;5;Panasonic Lumix_DMC_G6;Panasonic;Lumix_DMC_G6;415;87;83.4;83.7;77.5;DSLM;15.9;NMOS
36;81.4;5;Panasonic Lumix_DMC_GM5*;Panasonic;Lumix_DMC_GM5*;749;62;86.6;78.2;74.6;DSLM;15.8;MOS
41;80.2;5;Panasonic Lumix_DMC_G5;Panasonic;Lumix_DMC_G5;369;87;81.4;80.8;74.8;DSLM;15.9;NMOS
46;79.2;5;Panasonic Lumix_DMC_GF7;Panasonic;Lumix_DMC_GF7;498.99;71;91.2;68.3;72.2;DSLM;15.8;NMOS
57;75;5;Panasonic Lumix_DMC_GM1;Panasonic;Lumix_DMC_GM1;459.11;61;85.5;66;67.4;DSLM;15.8;NMOS
59;74.1;5;Panasonic Lumix_DMC_GF6;Panasonic;Lumix_DMC_GF6;394.95;68;81.5;68.6;66.6;DSLM;15.8;NMOS
60;74;5;Panasonic Lumix_DMC_G3;Panasonic;Lumix_DMC_G3;279;89;75.6;75.7;64.8;DSLM;15.7;NMOS
73;69.7;5;Panasonic Lumix_DMC_GX1;Panasonic;Lumix_DMC_GX1;427;57;75.7;63.6;67.7;DSLM;15.8;NMOS
77;66.7;5;Panasonic Lumix_DMC_GF5;Panasonic;Lumix_DMC_GF5;485.05;82;73.8;62.3;57.1;DSLM;12;NMOS
12;86.9;6;Pentax K_3;Pentax;K_3;929.56;61;78.4;96.6;86.3;DSLR;24.1;CMOS
17;85.3;6;Pentax K_5_IIs;Pentax;K_5_IIs;624.99;74;80;93.1;80.1;DSLR;16.1;CMOS
21;83.7;6;Pentax K_5_II;Pentax;K_5_II;764.44;65;76.8;93.3;79;DSLR;16.1;CMOS
23;83.2;6;Pentax K_S1;Pentax;K_S1;486.19;83;85.8;85.6;69.1;DSLR;20;CMOS
26;82.9;6;Pentax K_500;Pentax;K_500;516.2;82;83.2;86.4;72.8;DSLR;16.1;CMOS
31;82.4;6;Pentax K_50;Pentax;K_50;445;84;80.6;89.2;69.8;DSLR;16.1;CMOS
79;62;6;Pentax Q10*;Pentax;Q10*;424.71;56;63.5;66.4;45.9;DSLM;12;CMOS
1;93.4;7;Samsung NX1;Samsung;NX1;1499;52;93.9;90.3;100;DSLM;28;CMOS
14;86.4;7;Samsung NX30;Samsung;NX30;529.97;83;89.6;84.8;80.9;DSLM;20;CMOS
34;81.8;7;Samsung Galaxy_NX*;Samsung;Galaxy_NX*;999;54;90;79.2;64.1;DSLM;20;CMOS
