own_EBR;own_smartphone;own_iPad;bought_ebook;ebook_UB;emag_UB;type_1;type_2;type_3;type_4;type_5;type_6;type_7;type_8;interest_1;interest_2;interest_3;interest_4;interest_5;interest_6;interest_7;interest_8;interest_9;interest_10;reason_1;reason_2;reason_3;reason_4;reason_5;reason_6;reason_7;reason_8;newsletter;blogs;social_media;sex;age;faculty
maybe;yes;maybe;yes;yes;yes;1;4;1;5;4;1;5;1;1;4;4;2;1;1;4;1;3;2;3;2;5;2;2;2;1;5;8;1;1;0;22;6
no;no;no;no;no;no;4;4;5;5;5;1;5;2;2;4;4;3;3;3;4;1;2;3;1;2;4;1;1;1;1;3;1;5;1;1;21;5
no;maybe;no;maybe;no;no;5;3;1;3;4;2;2;3;1;3;4;1;4;4;3;1;1;1;1;2;3;1;1;1;1;1;6;5;1;1;25;5
no;no;no;no;no;no;5;3;3;5;5;1;1;5;3;1;2;2;2;2;2;3;3;3;1;1;4;1;1;2;1;1;6;5;2;0;22;4
maybe;maybe;maybe;maybe;yes;yes;5;4;4;3;2;1;1;1;1;4;4;2;2;1;4;4;4;2;2;1;1;1;1;1;1;1;2;3;1;0;29;4
no;no;no;no;no;no;4;2;2;3;4;2;2;3;2;4;4;2;3;4;4;4;3;3;1;1;2;1;1;1;3;1;4;5;4;1;28;3
maybe;yes;no;maybe;yes;maybe;1;3;4;5;4;2;1;3;2;1;3;1;2;1;3;2;2;2;1;2;2;1;1;1;2;2;6;2;1;1;24;4
no;no;no;no;no;no;4;4;5;5;5;1;1;5;4;4;4;2;2;2;1;1;1;1;2;2;2;1;1;1;1;1;4;5;2;1;23;6
no;maybe;no;no;maybe;no;5;5;4;5;4;2;1;4;3;2;4;2;4;4;3;4;3;2;1;2;2;2;2;1;3;2;1;1;5;1;20;7
maybe;maybe;maybe;maybe;no;no;5;3;5;5;4;4;4;2;2;3;3;2;3;2;3;1;1;3;2;4;3;3;2;2;2;2;1;5;1;1;23;4
no;no;no;no;no;no;2;3;1;5;4;1;5;3;1;3;4;2;2;3;3;3;3;1;1;1;1;1;1;1;1;1;2;5;5;1;18;3
no;maybe;no;maybe;maybe;yes;3;3;4;5;5;5;2;4;1;3;4;3;2;2;2;3;2;3;1;2;2;1;1;1;2;1;4;5;1;1;21;3
maybe;no;no;maybe;maybe;maybe;1;2;1;4;4;1;1;2;1;3;4;2;2;2;2;2;1;2;1;1;1;1;1;2;4;2;2;5;1;1;19;3
no;no;no;no;no;no;2;2;2;4;5;1;2;2;1;4;4;2;2;4;4;4;4;3;1;1;1;1;1;1;1;1;5;5;5;0;39;
no;maybe;maybe;maybe;maybe;maybe;3;3;2;5;5;2;4;2;1;1;4;2;3;3;3;3;3;3;2;1;2;2;2;2;1;2;1;3;5;0;25;3
