Kanton;Einkommen;Vermoegen;Ertrag;Kapital;Grund;Vermoegensgewinn;Vermoegensverkehr;Erbschaft;Sonstige
Zuerich;6396666.938;997809.191;1578465.765;212108.297;0;288223;8253;217515.957;286025.835
Bern;4572703.806;398320.718;566098.385;58358.872;180901;139184.936;121357.199;109044.117;326247.48
Waadt;3884413.513;515016.934;446231.914;167440.956;120040;90383.977;206690.279;142962.57;237834.717
Genf;3452170.166;490145.556;1000549.609;199966.45;106911.163;45701.923;167421.346;142867.568;107664.716
Aargau;2413246.87;327268.573;394731.342;109847.665;0;35147.02;41327.956;23735.587;110845.014
St. Gallen;1998673.534;320195.142;343550.579;18081.609;67724;72839.954;33897;37699.212;125252.076
Basel-Stadt;1317640.679;193622.628;453445.11;181514.66;34794.299;29475.15;35052.876;19193.905;31730.601
Tessin;1368278.99;153914.854;347129.317;65394.371;67523.326;36495.287;64786.467;27515.93;112372.236
Luzern;1593840.506;172777.87;168177.962;58884.811;29446.485;63043.624;36189.163;21191.915;89713.783
Basel-Landschaft;1478270.828;205249.515;262275.215;58927.86;0;25828.17;29570.451;35499.65;75435.697
Freiburg;1205507.187;114250.521;156334.942;38275.84;75081.194;25317.524;44952.167;6331.536;78284.9
Wallis;1220802.107;114480.57;123252.51;39793.326;62676.958;20352.633;54774.009;10857.873;50297.015
Solothurn;1180595.413;62136.496;191096.094;47773.774;0;19010.613;27798.029;21830.124;62632.785
Graubuenden;789356.952;154722.07;170252.344;34033.578;38657;39944.233;42187;37952.293;69206.241
Thurgau;974775.556;98849.5;115788.233;38597.744;18560.965;33855.625;15979.599;11218.133;47626.313
Neuenburg;924784.404;78223.836;122220.409;46354.371;5700.008;19946.088;22929.422;14295.67;43174.611
Zug;473470.142;104601.126;282560.581;30722.602;0;17820.274;2461;3144.935;25461.06
Schwyz;537807.663;50641.212;62792.722;29119.881;0;41953.226;0;0;38169.868
Schaffhausen;345415.65;35265.798;60388.926;11562.7;0;7440.68;0;3638.888;12949.069
Jura;303071.466;15974.935;42940.28;6821.604;9295;3124.101;8138.33;3390.34;23946.566
Appenzell A.Rh.;214708.769;39078.055;20412.129;1210.456;0;6712.111;6617;6836.655;16695.666
Nidwalden;169499.473;23312.523;20143.504;6404.038;0;6841.008;3812.623;762.284;9460.02
Glarus;132990.571;17615.543;21111.091;3951.384;0;820.55;0;1911.038;10068.199
Obwalden;127887.091;14396.63;14187.121;3006.591;0;4901.026;1540.154;561.501;8196.64
Uri;129592.501;7637.001;14448.1;1841.03;0;2844.175;0;1432.572;7413.037
Appenzell I.Rh.;54961.137;2313.577;4112.43;678.367;579;2412.053;720.26;1549.039;4783.879
