;Population;PopPersqkm;FractNonSwiss;Age0-19;Age20-64;Age64plus;FractUrban;Lang_German;Lang_French;Lang_Ital;RomCath;Protestant;noConfession;Area;BIPpcapita;FDP;CVP;SP;SVP;BDP;EVP_CSP;GLP;PDA_Sol;GPS;SmallRightWing;OtherParties
AG;618298;443.2;22.3;20.9;63.2;15.9;65.9;89.4;2.3;5.1;35.7;29;20.7;1403.8;64522;11.5;10.6;18;34.8;6.1;3.2;5.7;0;7.3;1.6;1.3
AR;53313;219.5;14.5;21.3;60.8;17.9;53;92.7;0;0;31;41.8;0;242.9;48666;51.5;10.6;0;30.5;0;0;0;0;6.4;0;1
AI;15743;91.3;10.1;23.8;59.2;17;0;93.8;0;0;74;0;0;172.5;49297;0;76.1;20.3;0;0;0;0;0;0;0;3.6
BL;275360;532;19.6;19.6;60.4;20;91.8;89.3;4;5.6;29.1;34.5;23.8;517.5;69603;11.5;8.2;24.4;26.9;6.4;3.3;5;0;13.6;0.7;0
BS;186255;5033.9;33.1;16.5;62.7;20.7;100;80.8;6.1;6.8;20.4;19;42.2;37.1;147341;12.3;6.5;29.1;16.5;2.2;2.5;5.8;0;13.4;0.5;11
BE;985046;168.6;13.7;19.6;61.3;19.1;62.7;85.7;11;3.2;15.8;56.4;15.2;5959.1;66616;8.7;2.1;19.3;29;14.9;4.2;5.3;0.3;9.4;3.7;3.2
FR;284668;178.6;19.1;23.7;62.1;14.2;55.8;29.4;68.1;2;63;14.1;12.7;1670.8;49592;12.8;20.3;26.7;21.5;1.9;6.2;3.5;0;5;0.7;1.5
GE;460534;1873.5;39.4;21.6;62.3;16.1;99.2;5.8;80.8;7.3;36.7;11.7;35.1;282.4;104636;18.7;9.8;19.1;16;0;1;3.2;6.5;14;9.8;1.9
GL;39217;57.6;21.4;20.2;61.9;17.9;0;90.2;0;0;38.9;34.7;0;685.4;57778;0;0;24.6;0;61.7;0;0;0;0;0;13.7
GR;193388;27.2;17;19.2;62.4;18.4;50;76.3;0;12.3;44.3;35.4;12.5;7105.2;58224;11.9;16.7;15.6;24.5;20.4;0;8.2;0;2.2;0.5;0
JU;70542;84.1;12.7;22.8;58.7;18.5;30.6;6.7;92.2;3.7;68.9;9.9;11.5;838.8;55919;9.5;33.2;30.8;15.5;0;0;0;0;11;0;0
LU;381966;267.3;16.8;21.5;62.3;16.2;50.8;90.7;1.9;3.1;65.3;11;13.3;1493.5;60534;18.4;27.1;11.5;25.1;2.1;0.7;6.1;0;8.3;0.2;0.5
NE;173183;241.6;23.4;22.1;59.8;18;74.6;5.9;88.8;6.1;25.5;25.1;37;803.1;66282;26.8;3.5;24.7;21.4;1.5;0;0;10.4;11.7;0;0
NW;41311;171.1;11.8;19.8;63.5;16.8;87.6;95.5;0;0;70.5;0;0;276.1;59126;35.2;0;0;45.2;0;0;0;0;19.6;0;0
OW;35885;74.7;13.7;21.7;62.4;15.9;0;94;0;0;75;0;0;490.6;58314;0;0;0;43.1;0;0;0;0;0;0;56.9
SH;77139;258.7;23.6;19.3;61;19.6;75.9;89;0;0;23.2;40.2;20.6;298.5;76141;12.3;5.2;34.6;39.9;0;0;0;0;0;3.8;4.3
SZ;147904;173.7;18.9;21.2;63.5;15.4;80.2;90.3;0;3.5;65.6;11.4;12.8;908.2;54789;15.5;20.6;15.7;38;3.4;1.1;0;0;3.8;0;1.9
SO;256990;325.1;19.7;19.9;62;18;77.6;89.5;2.6;4.8;37.3;24.7;24.1;790.5;59571;18.4;17.9;18.3;24.3;4.4;1.5;5;0;7.5;0.5;2.3
SG;483156;247.7;22.1;21.7;61.9;16.4;66.9;90;1.2;3.5;48.1;22.9;14.1;2025.4;64272;12.3;20.3;16.7;31.5;3.8;1.8;6;0;6.4;1.2;0
TI;336943;122.9;26.2;18.8;60.4;20.8;87.9;11.1;5.3;87.7;69.1;4.5;15.9;2812.5;65254;24.8;20;16.6;9.7;0;0;0;1.2;6.7;17.5;3.4
TG;251973;292;22.1;21.7;62.6;15.7;50;91;1.3;4.1;32.9;37.3;15.7;990.9;55118;11.3;14.4;12.1;38.7;5;2.9;5.2;0;7;3.5;0
UR;35382;33.5;9.8;21.4;60.1;18.5;0;94.1;0;0;84;0;0;1076.4;47816;74.3;0;21.5;0;0;0;0;0;0;0;4.3
VD;725944;257.2;31.6;22.6;61.6;15.8;74.7;7.1;85;5.2;31.1;28.9;25.7;3212.1;65632;16.3;4.6;25.1;22.9;0.8;1.1;5.1;3.9;11.6;1.7;6.8
VS;317022;60.8;21.2;20.9;61.7;17.4;56.8;28;66.5;3.7;75.4;6.4;10.3;5224.4;54850;18.8;39.9;14.6;19.7;0.6;0.7;0;0;5;0;0.7
ZH;1392396;838.3;24.6;19.6;63.9;16.5;95.1;85;3.5;5.8;27.9;33.9;22.4;1728.8;91001;11.6;5;19.3;29.8;5.3;3.2;11.5;0.2;8.4;2.5;3.1
ZG;115104;555.8;24.6;20.7;63.8;15.5;96.2;86.1;3.1;3.6;54.9;15.6;17.7;238.8;128833;19.2;24.3;5.3;28.3;0;0;6.8;0;15.4;0;0.7
