psraid;qk9a;qk9b;qk9c;qk9d;qk9e;qk9f;qk9g;qk22a;qk22b;qk22c;qk22d;qk23a;qk23b;qk23c;qk23d;qk23e;qk25a;qk25b;qk25c;qk25d;qk26a;qk26b;qk26c;qk26d;qk26e;qk26f;qk21;qk24
100008;2;2;2;2;5;5;2;1;1;1;1;1;1;2;2;2;1;2;3;1;2;2;2;2;2;3;4;30
100014;3;3;1;1;5;5; ;3;2;2;2;3;2;4;3;2;2;5;2;2;2;3;3;3;5;4;1;15
100017;4;5;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
100027;2;1;1;4;5;4;5;2;2;2;1;3;4;3;4;2;2;2;2;1;1;3;2;4;1;1;6;20
100039;4;3;5; ;4;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
100060;1;2;2;5;2;2;2;5;1;3;5;1;3;5;5;5;3;3;5;5;3;3;5;5;5;3;30;4
100074;1;4;5;3;3;3;3;3;4;4;5;5;3;3;3;5; ; ; ; ; ; ; ; ; ; ;1; 
100111;2;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
100118;1;4;5;3;5;5; ;3;3;5;5;4;3;4;4;4; ; ; ; ; ; ; ; ; ; ;3; 
100125;3;2;1;2;4;4;1;2;3;5;4;3;3;4;3;4;1;4;4;5;2;5;4;5;4;3;3;5
100134;2;5;5; ;5;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
100176;1;4;3;3;4;2; ;4;3;4;5;5;3;3;3;4;3;4;5;5;5;5;4;4;5;5;1;2
100213;1;1;1;1;3;5;5;1;1;5;1;4;1;1;3;4;1;1;5;1;1;1;1;4;3;4;1;30
100246;3;4;1;3; ; ; ;4;1;1;5;1;1;4;2;3;2;1;4;5;2;4;5;5;4;5;4;10
100289;3;5;1;2;1;2; ;3;2;3;6;3;4;4;3;3;1;5;4;6;2;2;4;3;2;2;1;75
100297;5;1;1;1;5;5;4;3;4;4;5;3;5;5;4;3;3;2;3;5;1;5;3;3;5;5;7;10
100338;4;4;5; ;8;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
