course;sex;agegroup;time;general;food_drink;clothes;furniture;electronics;entertainment;travel
BA;M;21;30;5;2;2;1;5;5;5
BA;M;21;30;5;2;2;1;5;5;5
BA;M;21;40;5;1;2;2;3;4;4
BA;M;21;45;4;1;1;1;1;4;6
BA;M;21;45;4;1;1;1;1;4;6
BA;M;21;60;4;1;1;1;1;3;3
BA;M;21;60;4;3;4;5;3;3;2
BA;M;21;60;5;1;1;1;1;4;4
BA;M;21;60;5;1;1;1;1;4;4
BA;M;21;60;5;1;1;1;3;4;2
BA;M;21;60;5;1;4;1;4;4;1
BA;M;21;80;5;1;3;2;3;4;2
BA;M;21;90;5;1;4;3;4;2;3
BA;M;21;100;3;3;4;5;2;4;3
BA;M;21;120;3;1;2;1;2;5;3
BA;M;21;120;4;1;2;1;2;3;4
BA;M;21;120;4;4;3;3;5;4;5
BA;M;21;120;5;1;1;1;6;6;3
BA;M;21;120;5;1;2;2;6;6;3
BA;M;21;120;5;1;3;1;3;2;4
BA;M;21;120;6;1;1;1;4;4;2
BA;M;21;120;6;2;4;3;4;4;4
BA;M;21;120;6;3;4;2;5;5;6
BA;M;21;180;4;1;2;1;3;3;4
BA;M;21;180;5;4;3;2;4;3;3
BA;M;22_to_24;20;4;1;1;1;3;2;5
BA;M;22_to_24;30;5;1;5;2;5;3;5
BA;M;22_to_24;40;4;1;2;1;1;4;4
BA;M;22_to_24;60;2;2;3;1;2;3;5
BA;M;22_to_24;60;4;1;2;3;3;2;4
BA;M;22_to_24;60;4;1;2;3;3;2;4
BA;M;22_to_24;60;5;1;1;1;3;4;4
BA;M;22_to_24;60;5;1;1;1;3;4;4
BA;M;22_to_24;60;5;1;2;1;3;4;4
BA;M;22_to_24;60;5;1;2;1;3;6;2
BA;M;22_to_24;60;5;4;2;1;2;2;5
BA;M;22_to_24;80;2;2;2;2;3;2;2
BA;M;22_to_24;90;5;1;2;1;3;2;4
BA;M;22_to_24;100;5;1;2;2;3;4;4
BA;M;22_to_24;120;4;1;3;1;3;4;4
BA;M;22_to_24;180;1;1;1;1;3;5;2
BA;W;21;20;2;4;2;1;1;3;2
BA;W;21;30;4;1;1;1;1;3;3
BA;W;21;30;4;1;1;2;2;3;2
BA;W;21;30;4;1;2;1;2;3;4
BA;W;21;30;4;1;2;1;2;3;4
BA;W;21;30;4;1;2;1;2;3;4
BA;W;21;30;4;1;4;2;2;4;4
BA;W;21;30;5;1;1;1;1;3;3
BA;W;21;30;5;1;1;1;1;3;3
BA;W;21;45;5;1;5;1;3;1;1
BA;W;21;50;5;2;2;2;1;2;1
BA;W;21;75;4;3;4;3;4;4;2
BA;W;21;120;5;1;2;1;4;2;4
BA;W;21;120;6;2;3;1;5;5;4
BA;W;21;180;2;1;1;1;1;1;1
BA;W;21;180;5;1;1;1;2;2;3
BA;W;21;240;5;1;1;1;3;5;1
BA;W;27;60;4;3;4;3;3;4;1
BA;W;22_to_24;30;4;1;1;1;1;1;6
BA;W;22_to_24;30;6;3;6;3;6;6;4
BA;W;22_to_24;60;5;1;5;5;2;5;1
BA;W;22_to_24;60;5;3;3;1;2;2;3
DR;M;27;30;5;2;1;2;4;6;5
DR;M;27;60;4;1;1;1;1;3;3
DR;M;27;60;5;1;2;1;3;3;4
DR;M;27;60;6;1;3;1;5;5;6
DR;M;27;90;5;1;1;1;6;6;6
DR;M;27;120;6;1;1;2;4;5;5
DR;M;27;120;6;1;1;2;5;5;6
DR;M;27;300;6;2;2;2;6;6;6
DR;M;25_to_27;2;4;1;2;1;1;4;4
DR;M;25_to_27;60;5;2;1;1;5;5;4
DR;M;25_to_27;90;5;1;1;3;4;6;4
DR;M;25_to_27;720;6;3;3;3;6;6;5
DR;W;27;100;5;1;2;1;5;6;6
DR;W;27;120;5;1;4;1;3;3;3
DR;W;27;180;5;1;1;3;5;5;6
DR;W;27;180;6;2;5;1;4;6;6
DR;W;27;180;6;6;2;1;2;4;6
DR;W;27;300;5;1;1;3;4;5;4
DR;W;22_to_24;150;5;1;1;1;3;3;5
DR;W;25_to_27;180;6;1;1;1;5;6;4
MA;M;27;60;5;1;1;1;4;5;5
MA;M;27;100;4;1;2;2;3;5;4
MA;M;27;120;3;1;5;1;1;3;1
MA;M;27;360;6;1;4;1;5;5;3
MA;M;22_to_24;30;6;4;1;1;4;4;5
MA;M;22_to_24;50;5;3;3;2;4;4;5
MA;M;22_to_24;60;4;1;2;3;4;4;5
MA;M;22_to_24;60;5;1;2;3;6;6;3
MA;M;22_to_24;60;5;2;1;1;3;3;5
MA;M;22_to_24;60;6;1;1;1;5;5;1
MA;M;22_to_24;90;6;1;1;1;1;4;4
MA;M;22_to_24;100;4;1;1;1;5;4;3
MA;M;22_to_24;100;6;1;2;2;5;5;5
MA;M;22_to_24;120;3;1;2;1;2;1;4
MA;M;22_to_24;120;4;1;2;1;5;5;3
MA;M;22_to_24;120;5;1;2;1;4;2;4
MA;M;22_to_24;120;6;1;3;1;6;6;3
MA;M;22_to_24;240;4;1;2;1;4;6;4
MA;M;25_to_27;30;5;1;2;1;4;5;5
MA;M;25_to_27;60;4;1;1;2;3;3;2
MA;M;25_to_27;60;4;1;1;2;3;3;2
MA;M;25_to_27;60;6;2;1;1;3;5;1
MA;M;25_to_27;90;4;1;2;1;2;4;1
MA;M;25_to_27;90;4;1;2;1;2;4;1
MA;M;25_to_27;90;5;1;1;1;1;4;5
MA;M;25_to_27;120;3;1;2;1;3;2;3
MA;M;25_to_27;120;4;1;1;1;4;4;6
MA;M;25_to_27;120;5;1;1;1;4;5;6
MA;M;25_to_27;120;5;1;2;3;6;6;1
MA;M;25_to_27;120;6;1;2;2;4;6;6
MA;M;25_to_27;240;4;1;1;1;4;5;4
MA;W;22_to_24;45;4;1;2;1;5;5;5
MA;W;22_to_24;60;5;1;3;1;3;4;1
MA;W;22_to_24;60;5;1;4;1;1;2;5
MA;W;22_to_24;80;4;1;1;1;2;2;2
MA;W;22_to_24;90;4;1;3;1;4;4;5
MA;W;22_to_24;100;5;3;2;2;2;2;5
MA;W;22_to_24;120;3;1;1;1;2;1;2
MA;W;22_to_24;180;3;3;1;1;1;1;3
MA;W;22_to_24;300;5;2;3;3;6;6;6
MA;W;25_to_27;60;4;1;1;1;1;1;5
MA;W;25_to_27;60;4;1;2;2;5;5;5
MA;W;25_to_27;75;5;3;1;3;6;5;6
MA;W;25_to_27;120;6;1;1;1;2;6;6
